User,Is X Done?,Is Y done?,Is Z Done?
1,yes,yes,yes
2,yes,yes,yes
3,yes,yes,yes
4,yes,yes,yes
5,yes,yes,yes
6,yes,yes,yes
7,yes,yes,yes
8,yes,yes,yes
9,yes,yes,yes
10,yes,yes,yes
11,yes,yes,yes
12,yes,no,yes
13,yes,yes,yes
14,yes,yes,yes
15,yes,yes,yes
16,yes,yes,yes
17,yes,yes,yes
18,yes,yes,yes
19,yes,yes,yes
20,yes,yes,yes
21,yes,yes,yes
22,yes,yes,yes
23,yes,yes,yes
24,yes,yes,yes
25,yes,yes,yes
26,yes,yes,yes
27,yes,yes,yes
28,yes,yes,yes
29,yes,yes,yes
30,yes,yes,yes
31,yes,yes,yes
32,yes,yes,yes
33,yes,yes,yes
34,no,yes,yes
35,no,yes,yes
36,yes,no,yes
37,yes,yes,yes
38,yes,yes,yes
39,yes,yes,yes
40,yes,yes,no
41,yes,yes,yes
42,yes,yes,yes
43,yes,yes,yes
44,yes,yes,yes
45,yes,yes,yes
46,yes,yes,yes
47,yes,yes,yes
48,yes,yes,yes
49,yes,yes,yes
50,yes,yes,yes
51,no,yes,yes
52,yes,yes,yes
53,yes,yes,yes
54,yes,yes,yes
55,yes,yes,yes
56,yes,yes,yes
57,yes,yes,yes
58,yes,no,yes
59,yes,yes,yes
60,yes,yes,yes
61,yes,yes,yes
62,yes,yes,yes
63,yes,yes,yes
64,yes,yes,yes
65,yes,yes,yes
66,yes,yes,yes
67,yes,yes,no
68,no,yes,yes
69,yes,yes,yes
70,yes,yes,yes
71,yes,yes,yes
72,yes,yes,yes
73,yes,yes,yes
74,yes,yes,no
75,no,yes,yes
76,yes,yes,yes
77,yes,yes,yes
78,yes,yes,no
79,no,yes,yes
80,yes,yes,yes
81,yes,yes,yes
82,yes,yes,yes
83,yes,yes,yes
84,yes,yes,yes
85,yes,yes,yes
86,yes,yes,yes
87,yes,yes,yes
88,yes,yes,yes
89,yes,yes,yes
90,yes,yes,yes
91,yes,yes,yes
